Name,Timestamp,Date,Amount Raised,Round,Description,Lead Investor,Category,Source,Valuation,Chains,Other Investors
"Tensor",1678147200,"2023-03-07",3000000,"Seed","NFT Marketplace","Placeholder","","https://twitter.com/TheBlock__/status/1633090393268006912","","Solana","Solana Ventures + Alliance DAO + Big Brain Holdings + Anatoly Yakovenko  + Raj Gokal"
"Kresus",1678147200,"2023-03-07",25000000,"Series A","Web3 app: wallet, exchange, guide","Liberty City Ventures","","https://twitter.com/TheBlock__/status/1633097931967397893 ","","","Franklin Templeton + JetBlue Technology Ventures + Marc Benioff"
"Believer",1678147200,"2023-03-07",55000000,"Series A","Gaming platform","Lightspeed Venture Partners","Gaming","https://twitter.com/TechCrunch/status/1633111360174161920 ","","","a16z"
"Scroll",1678060800,"2023-03-06",50000000,"","zkEVM-based zkRollup on Ethereum that enables native compatibility for existing Ethereum applications and tools","Polychain Capital + Bain Crypto","Zero Knowledge Industry","https://twitter.com/Scroll_ZKP/status/1632813697251803140","","Ethereum","Robot Ventures  + Santiago R. Santos + Anthony Sassano + Ying Tong + Carlos Aria"
"DigiFT",1677801600,"2023-03-03",10500000,"pre-Series A","Decentralized exchange for asset-backed tokens","Shanda Group","DEX","https://www.cryptoglobe.com/latest/2023/03/digift-dex-raises-10-5m-in-pre-series-a-funding-led-by-shanda-group/","","","Hashkey Capital + Hash Global + North Beta Capital"
"Republik",1677801600,"2023-03-03",3500000,"Seed","Web3 content creation platform","","","https://cryptoslate.com/republik-raises-3-5m-in-seed-funding-raising-valuation-to-75m/","75","","Sora Ventures"
"Metrika",1677715200,"2023-03-02",4000000,"Series A+","blockchain operational intelligence and risk management platform","M12","Analytics","https://www.prnewswire.com/news-releases/metrika-attracts-investment-from-m12-and-nyca-partners-301759934.html","","Ethereum","Nyca Partners"
"Insrt Finance",1677715200,"2023-03-02",2200000,"Pre-Seed","Fractional NFT spot exposure combined with passive yield farming","HashKey Capital + Infinite Capital","NFT","https://twitter.com/TheBlock__/status/1631301273470357507?s=20","","Ethereum","Sky9 Capital + Hamzah Khan"
"Few and Far",1677715200,"2023-03-02",10500000,"","NFT marketplace","Pantera Capital","NFT","https://twitter.com/NEARProtocol/status/1631324772884791297 ","","Near","Cypher Capital + Huobi Ventures + Hypersphere Ventures + Metaweb + Mantis Partners + K5 Global"
"Redeem",1677628800,"2023-03-01",2500000,"Pre-Seed","Web3 protocol that allows users to send and redeem NFT's using their phone numbers","Kenetic Capital","NFT","https://twitter.com/CoinDesk/status/1630976715043291136 ","","","Monochrome Capital + VC3 DAO + The Fund + Flyover Capital + CMT Digital + KCRise + KESTREL 0x1"
"Greeks.live",1677628800,"2023-03-01","","Series pre-A","Crypto Options Platform","","DeFi","https://twitter.com/GreeksLive/status/1630592875380756481 ","","","Deribit + BIT Crypto Exchange + NGC Ventures"
"Impossible Cloud",1677628800,"2023-03-01",7000000,"Seed","Decentralized storage","HV Capital + 1kx","Storage","https://twitter.com/TheBlock__/status/1630938956580700161 ","","","Protocol Labs + TS Ventures + Very Early Ventures"
"Conflux",1677628800,"2023-03-01",10000000,"Strategic ","PoW/PoS Hybrid Blockchain","DWF Labs","L1","https://twitter.com/conflux_network/status/1630832297313464322","","",""
"Helika",1677628800,"2023-03-01",4000000,"Seed","Web3 gaming and NFT analytics platform","Diagram Ventures","Analytics","https://twitter.com/Crypto_Dealflow/status/1630981919004344320 ","","","Fenbushi Capital + Sfermion + Big Brain Holdings + Builder Capital + Sparkle Ventures"
"Mangrove",1677542400,"2023-02-28",7400000,"Series A","order book-based DEX","Cumberland + Greenfield Capital","DEX","https://twitter.com/MangroveDAO/status/1630519219107385348 ","","Polygon","CMT Digital + gumi Cryptos Capital"
"Wakweli",1677542400,"2023-02-28",1100000,"Seed","An infrastructure protocol that issues certificates of authenticity for NFTs & Tokenized Assets","Summit.io","Infrastructure","https://twitter.com/WakweliChain/status/1630569936224436229?s=20","","","FunFair Ventures"
"Portal",1677542400,"2023-02-28",5300000,"","Web3 wallet infrastructure","","Infrastructure","https://twitter.com/CoinDesk/status/1630599723919843329 ","","","Slow Ventures + Haun Ventures + Acrew Capital + Chapter One + William Hockey + Henrique Dubagras + Diogo Monica"
"Hashnote",1677542400,"2023-02-28",5000000,"","Institutional DeFi","","DeFi","https://twitter.com/Lifeformcc/status/1629374497236336640?s=20","100","",""
"Ether.Fi",1677542400,"2023-02-28",5300000,"","Non-custodial liquidate staking platform","North Island VC + Chapter One + Node Capital","Liquid Staking Protocol","https://twitter.com/CoinDesk/status/1630523971262185472 ","","Ethereum","Arthur Hayes + Arrington XRP Capital + Version One Ventures + Purpose Investment"
"Finoa",1677542400,"2023-02-28","","Strategic ","Finoa is a regulated custodian for digital assets offering custody and staking services to institutional investors and corporations.","Middlegame Ventures","CeFi","https://www.finoa.io/blog/bafin-qualified-custodian-license/","","","Balderton Capital + coparion + Signature Ventures + Venture Stars"
"ZenGo",1677542400,"2023-02-28",10000000,"Series A+","Crypto wallet","","","https://twitter.com/TheBlock__/status/1630633702588858385?s=20","100","",""
"Term Labs",1677542400,"2023-02-28",2500000,"Seed","Fixed rate lending on-chain at scale","Electric Capital","DeFi","https://twitter.com/term_labs/status/1630569103592226816 ","","","Coinbase Ventures + OWC + Circle Ventures + MEXC Global + Robot Ventures + Fernando Martinelli + Varun Kumar + Shreyas Hariharan + 0xMaharishi"
"Gosleep",1677542400,"2023-02-28","","","HealthFi Web3","Foresight Ventures","","https://twitter.com/gosleep01/status/1630538187306307586?s=20","","","Amber Group + SevenX Ventures + Gate.io + KuCoin Ventures"
"Fluus",1677542400,"2023-02-28",600000,"Pre-Seed","Crypto payments","","Payments","https://twitter.com/itsFLUUS/status/1630595534976086017 ","","","FHS Capital + Encryptus.io"
"Orange Comet",1677542400,"2023-02-28",7000000,"Equity + Token","NFTs & metaverse experiences in Web3","","NFT","https://twitter.com/CoinDesk/status/1630657323268988928 ","","",""
"Avalon Corp",1677542400,"2023-02-28",13000000,"","Web3 gaming","Bitkraft VC","Gaming","","","","Hashed + Delphi Digital  + Mechanism Capital + Coinbase Ventures + Kevin Lin + Charlie Songhurst"
"Lifeform",1677283200,"2023-02-25",5000000,"Series A","DID NFT Avatar","GeekCartel","NFT","https://twitter.com/Lifeformcc/status/1629374497236336640?s=20","","BSC","DHVC + SevenX Ventures + Foreseight Ventures + KuCoin Labs + K24 Ventures + Another World"
"Tsunami Finance",1677196800,"2023-02-24",1300000,"Pre-Seed","Margin trading and spot exchang","Big Brain Holdings + Mirana Ventures","DeFi","https://twitter.com/TsunamiFinance_/status/1628945300156219393","","Aptos","Zeta + Hedge + Pontem Network + Brilliance Ventures + Builder VC + Marin Digital Ventures + 0xSoju + Switchboardxyz + Coral DeFi + Aptos Monkeys + Time Research"
"NeoSwap AI",1677196800,"2023-02-24",2000000,"Pre-Seed","AI-powered trading platform for web3 projects","DACM + Angelhub","NFT","https://twitter.com/NeoSwap_ai/status/1629217157035749378","15","Ethereum","Gossamer Capital + Cavalry Asset Management + Stacks Ventures + Dhuna Ventures"
"Factor",1677196800,"2023-02-24",7500000,"Public token sale","The infrastructure and liquidity layer for DeFi","","DeFi","https://twitter.com/CamelotDEX/status/1629207230040907778 ","","Arbitrum",""
"OneKey",1677110400,"2023-02-23","","Series A+","Wallet","IOSG Ventures","Infrastructure","https://twitter.com/OneKeyHQ/status/1628650748153311233?s=20","85","",""
"Affine",1677110400,"2023-02-23",5100000,"Seed","cross-chain investment and savings app","Jump Crypto + Hack VC","DeFi","https://twitter.com/CoinDesk/status/1628772195261464576 ","","Ethereum + Polygon","Circle Ventures + Coinbase"
"Ammalgam",1677110400,"2023-02-23",750000,"Pre-Seed","Lending & trading protocol","","DeFi","https://twitter.com/ammalgam/status/1628839483197071366 ","","","Kain Warwick + 1inch + Robot Ventures  + Santiago R Santos + Bodhi Ventures + BootNode + Marin Ventures + Factor + Zeal Capital"
"Huma Finance",1677110400,"2023-02-23",9300000,"Seed","income-backed lending protocol.","Race Capital + Distributed Global","DeFi","https://twitter.com/humafinance/status/1628810358885326848 ","","Ethereum + Polygon","ParaFi + Circle Ventures + Robot Ventures + Folius Ventures"
"Worldwide Webb",1677110400,"2023-02-23",10000000,"Series A","An interoperable meta-RPG ","Pantera Capital","Gaming","https://twitter.com/CoinDesk/status/1628756786059612163 ","","",""
"Chain Reaction",1677110400,"2023-02-23",70000000,"Series C","hardware to accelerate blockchain and privacy","Morgan Creek Digital","Hardware","https://twitter.com/Calcalistech/status/1628703140957618178 ","","","Hanaco Ventures + Jerusalem Venture Partners + KCK Capital + Exor + Atreides Management + Blue Run Ventures"
"Towns",1677110400,"2023-02-23",25500000,"Series A","decentralized group chat protocol and app","a16z","Social Platform","https://twitter.com/TheBlock__/status/1628756906587172864 ","","","Benchmark + Framework Ventures"
"Beldex",1677110400,"2023-02-23",25000000,"","Private, ComposableDApps","DWF Labs","","https://twitter.com/CoinDesk/status/1628764135830831104","","",""
"Inverse Finance",1677110400,"2023-02-23",1000000,"Private token sale","DeFi protocol that maintains the DOLA stablecoin","DWF Labs","DeFi","https://www.inverse.finance/blog/posts/en-US/announcing-inverses-comprehensive-liquidity-partnership-with-dwf-labs","","Ethereum",""
"Den",1677024000,"2023-02-22",2800000,"Seed","Crypto wallet","IDEO CoLab Ventures","","https://twitter.com/OnChainDen/status/1628394260683956225 ","","","Gnosis + Balaji Srinivasan + Portal Ventures + Not Boring Capital + Seed Club Ventures + Volt Capital + Reverie + Lemniscap + Human Capital + Global Coin Research + Cyphr + Eberg Capital + 3SE Holdings + Spice Capital + Possibilian Capital + Austin Green + Chase Chapman + Hamzah Khan + Julian Weisser + Will Papper + Mona El lsa + Jonathan Hillis + Keeks + Parth Chopra + David Silverman + Diana Chen + Mansi Prakash + Ryan Berkun + Jason Raznick + Emmanuel Straschnov + Josh Haas + David Sun + Wojtek Kulikowski + Ken O'Friel"
"Polybase",1677024000,"2023-02-22",2000000,"Pre-Seed","Privacy-focused web3 database","6th Man Ventures","Infrastructure","https://twitter.com/TheBlock__/status/1628395482245484547","","Polygon + Ethereum","Protocol Labs + Orange DAO + Alumni Ventures + NGC Ventures + CMT Digital"
"Kratos Studios",1677024000,"2023-02-22",20000000,"Seed","Web3 gaming","Accel","Gaming","https://twitter.com/TheBlock__/status/1628553054772510721","150","","Prosus Ventures + Courtside Ventures + Nexus Venture Partners + Nazara Technologies"
"Blocto",1677024000,"2023-02-22","","Series A","Multichain wallet","","","https://twitter.com/BloctoApp/status/1628414398594453505 ","80","Ethereum + Solana + Polygon + Flow + BNB + Aptos","Mark Cuban"
"Strider",1676937600,"2023-02-21",5500000,"","Collaborative story-driven web3 gaming platform","Makers Fund + Fabric Ventures","Gaming","https://twitter.com/farming_xp/status/1628062924622409728 ","","","Shima Capital + Sfermion + Magic Eden"
"Dsquared Finance",1676937600,"2023-02-21",1120000,"Public token sale","Dynamic Quant Strategies","","DeFi","https://twitter.com/Dsquaredfinance/status/1628051147985485824","25","Arbitrum",""
"Polyhedra",1676937600,"2023-02-21",10000000,"Strategic ","Infrastructure for Web3 interoperability by leveraging advanced zero-knowledge proof protocols","Binance Labs + Polychain Capital","Infrastructure","https://twitter.com/CoinDesk/status/1628032238431379457 ","","","Animoca Brands + Dao5"
"3RM",1676937600,"2023-02-21",3000000,"Seed","web3 native customer relationship management tools","Distributed Global","","https://twitter.com/3RM_co/status/1628039657832480769?s=20","","","Shima Capital + Big Brain Holdings + Metareal"
"Kaito",1676937600,"2023-02-21",5300000,"Seed","AI-powered search engine for crypto","Dragonfly Capital","","https://twitter.com/_kaitoai/status/1628050370424619009","","","Sequoia Capital + Jane Street + Mirana Ventures + Folius Ventures + Alpha Lab Capital"
"TipLink",1676937600,"2023-02-21",6000000,"Seed","Crypto payments","Multicoin Capital + Sequoia Capital","Payments","https://twitter.com/TipLinkOfficial/status/1628050567322030080 ","","Solana","Asymmetric + Big Brain Ventures + Circle Ventures + Karatage + Monke Ventures + Paxos + Solana Ventures + Vinny Lingham + Liu Jang + Sarah Guo"
"Chaos Labs",1676937600,"2023-02-21",20000000,"Seed","Economic security and risk management platform for DeFi protocols","PayPal Ventures + Galaxy Digital","","https://fortune.com/crypto/2023/02/21/chaos-labs-omer-goldberg-20m-seed-funding-mango-markets/","","","Uniswap Labs Ventures + Coinbase Ventures + Lightspeed Venture Partners + Bessemer Venture Partners + Balaji Srinivasan + Naval Ravikant"
"Intu",1676937600,"2023-02-21",2000000,"Pre-Seed","MPC wallets","","Infrastructure","https://twitter.com/IntuOfficial/status/1627791015611342848 ","","","Fantom Foundation + CoinFund + Metaweb + Kitefin"
"Azra Games",1676937600,"2023-02-21",10000000,"Seed+","NFT-themed Legions & Legends","a16z crypto","Gaming","https://twitter.com/AzraGames/status/1628079858633871365 ","","","NFX + Coinbase Ventures + Play Ventures + Franklin Templeton"
"Sentio",1676937600,"2023-02-21",6400000,"","Web3 observability platform","Lightspeed Ventures","Infrastructure","https://twitter.com/sentioxyz/status/1628053547505037312 ","32","","Hashkey Capital + Canonical Crypto + Essence VC + GSR Ventures"
"Curio",1676937600,"2023-02-21",2900000,"Seed","Blockchain gaming platform","Bain Capital Crypto","Gaming","https://twitter.com/0xcurio/status/1628046436364587008 ","","","TCG + Formless Capital + Smrti Labs + Robot Ventures"
"Superchain",1676937600,"2023-02-21",4000000,"Seed","Blockchain indexer","Blockchain Capital","Infrastructure","https://twitter.com/TheBlock__/status/1628084894399180817","","","Maven 11 Capital + KR1 + Tokonomy + Fasanara Capital"
"Gateway.fm",1676851200,"2023-02-20",4600000,"Seed","Web3 infrastructure","","Infrastructure","https://twitter.com/TheBlock__/status/1627670071127556097","","Ethereum + Gnosis + Fantom + Laconic + Near",""
"Renegade",1676851200,"2023-02-20",3400000,"Seed","On-chain dark pool","Dragonfly + Naval Ravikant","","https://twitter.com/renegade_fi/status/1627664213681541123 ","","","Balaji Srinivasan + Tarun Chitra + Lev Livnev + Marc Bhargava + Lily Liu"
"Million on Mars",1676592000,"2023-02-17",3500000,"Seed","Web3 gaming","Great South Gate + Widus Partners","Gaming","https://twitter.com/VentureBeat/status/1626589835464179712","","Wax","Solana Labs"
"Phi",1676592000,"2023-02-17",2000000,"Seed","Web3 social gaming onboarding platform","Chapter One + Delphi Digital","Gaming","https://medium.com/@phi.xyz/phi-raises-2m-seed-round-65e24d1833fb","","Polygon","Polygon Ventures + Stani Kulechov + Anthony Sassano + Ryan Sean Adams + David Hoffmann + Kartik Talwar + Scott More + Tim Beiko + Makoto Inoue + 0xmons + Zefram"
"Cysic",1676592000,"2023-02-17",6000000,"Seed","Hardware accelerating zero-knowledge proof.","Polychain Capital","","https://twitter.com/cysic_xyz/status/1626606685782507521 ","","","HashKey + ABCDE + SNZ Holding + web3.com"
"YGG",1676592000,"2023-02-17",13800000,"Strategic ","blockchain game platform","DWF Labs","Gaming","https://twitter.com/YieldGuild/status/1626525166275801088 ","","","a16z crypto + Galaxy Interactive + Sangha Capital Fund + Sanctor Capital + David LEE Kuo Chuen"
"GloryFinance",1676592000,"2023-02-17",3500000,"Seed"," Simplified DeFi with Cross-chain services and UI innovation","Korean Technology Venture Capital","","https://twitter.com/BTCTN/status/1626552565604265984 ","","",""
"Unagi",1676592000,"2023-02-17",5000000,"Seed","Web3 gaming","Sisu Game Ventures","Gaming","https://twitter.com/TheBlock__/status/1626476816960552961 ","","","Sfermion + UOB Ventures  + Signum Capital + 2B Ventures + Machame"
"Nefta",1676505600,"2023-02-16",5000000,"Seed","Web3 infrastructure","Play Ventures","Infrastructure","https://twitter.com/TheBlock__/status/1626212792482267139","32.5","Ethereum + Polygon + StarkNet + Solana + Tezos + Avalanche + BSC + ImmutableX","Polygon Ventures + SevenX Ventures + Sfermion + Picus Capital"
"Stelo Labs",1676505600,"2023-02-16",6000000,"Seed","Web3 security","a16z crypto","","https://twitter.com/stelolabs/status/1626251715443032065 ","","",""
